amount,amount_normalized,article_sentence,assets,assets_tags,award,category,company_domain,confidence,contact,division,effective_date,event,financing_type,financing_type_normalized,financing_type_tags,found_at,headcount,id,job_title,job_title_tags,location,location_data,planning,product,product_data,product_tags,recognition,summary,vulnerability
,,Astra International acquires OLX Autos Indonesia.,,[],,acquires,astra.co.id,0.6787,,,2023-08-13,,,,[],2023-08-13T05:46:11Z,,165db9ca-7a64-43fc-b29f-046467a32744,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International acquired Olxautos on Aug 13th '23.,
,,"By acquiring OLX and its automotive arm, Astra is doubling down on the used-car segment and competing with notable players such as Carro, Carsome, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,0.3571,,,,,,,[],2023-08-11T02:44:00Z,,9e342104-d570-427c-b31b-14ad7c8f3577,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,"Astra International identified as competitor of Carmudi Philippines, Inc..",
,,"With the move, Astra now competes with players such as Carro, Carsome, OLX Autos, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,1.0,,,2022-11-28,,,,[],2023-08-11T02:44:00Z,,47b8d83a-9236-4e51-b04b-0e5ecb0cc9cf,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International identified as competitor of Moladin Group on Nov 28th '22.,
,,Indonesian conglomerate Astra completes acquisition of OLX local unit.,,[],,acquires,astra.co.id,0.2822,,,2023-08-11,,,,[],2023-07-27T00:05:36Z,,ab8fe1dd-c645-42c8-85fb-0aeba02ea49a,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International acquired OLX.co.id on Aug 11th '23.,
,,"Astra has launched a new JV with Equinix to build data centres in Indonesia, which makes an interesting addition to its digital economy exposure.",,[],,launches,astra.co.id,0.5891,,,,,,,[],2023-04-20T00:14:35Z,,3285ed85-81c6-48ba-a850-c33d559a8b77,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,JV,"{""full_text"": ""JV"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launches JV.,
,,"Astra International and Equinix have built a joint venture (JV) company to develop digital infrastructure in Indonesia, according to an announcement on Tuesday.",,[],,partners_with,astra.co.id,0.7635,,,2023-04-11,,,,[],2023-04-11T08:47:41Z,,0389ccad-87d8-4b45-bd16-4ab314870281,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International partnered with Equinix on Apr 11th '23.,
,,"Astra International and Equinix have built a joint venture (JV) company to develop digital infrastructure in Indonesia, according to an announcement on Tuesday.",,[],,is_developing,astra.co.id,0.5843,,,2023-04-18,,,,[],2023-04-11T06:47:41Z,,9dbd462a-54b0-429e-be8b-5bcb8ef21b59,,"[""general_technology""]",,[],False,digital infrastructure in Indonesia,"{""full_text"": ""digital infrastructure in Indonesia"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}","[""online_technology"", ""general_technology""]",,Astra International is developing digital infrastructure in Indonesia on Apr 18th '23.,
,,You might have noticed that Astra in Indonesia unveiled the Toyota Agya twin sister to the Axia yesterday; the ‘world premiere’ beating the Axia’s unveiling by a day.,,[],,launches,astra.co.id,0.9475,,,2023-02-13,,,,[],2023-02-13T22:00:00Z,,962dac0d-0aef-4245-857b-c6f08c1bc581,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,Toyota Agya twin sister to the Axia,"{""full_text"": ""Toyota Agya twin sister to the Axia"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launched Toyota Agya twin sister to the Axia on Feb 13th '23.,
,,PT Astra Digital Mobil has introduced a digital platform for buying and selling used cars in Indonesia that can be accessed via a website or mobile app called mobbi.,,"[""transportation""]",,launches,astra.co.id,0.4305,,,,,,,[],2022-12-05T10:09:55Z,,1d4f6393-bd03-410e-a184-11ce5c7d86bb,,"[""transportation"", ""general_technology"", ""purchasing""]","Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,digital platform for buying and selling used cars,"{""full_text"": ""digital platform for buying and selling used cars"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}","[""online_technology"", ""general_technology""]",,Astra International launches digital platform for buying and selling used cars.,
,,"Astra International, based in Indonesia, has launched a new used-car marketplace called Mobbi.",,[],,launches,astra.co.id,0.8256,,,,,,,[],2022-12-01T09:14:16Z,,5de81227-b2e2-451a-bfd7-d37ff915c41b,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,Mobbi,"{""full_text"": ""used-car marketplace called Mobbi"", ""name"": ""Mobbi"", ""release_type"": null, ""release_version"": null, ""fuzzy_match"": false}",[],,Astra International launches Mobbi.,
,,Indonesia-based conglomerate Astra International has launched a new used-car marketplace in the country.,,"[""transportation""]",,launches,astra.co.id,1.0,,,,,,,[],2022-11-28T11:01:00Z,,e85d5c64-b7cc-4ec3-aff9-0f2206f78224,,"[""transportation""]",,[],False,used-car marketplace,"{""full_text"": ""used-car marketplace"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}","[""online_technology""]",,Astra International launches used-car marketplace.,
,,"With the move, Astra now competes with players such as Carro, Carsome, OLX Autos, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,0.9383,,,2022-11-28,,,,[],2022-11-28T11:01:00Z,,6285472c-b2d1-4607-a246-f5f064d8181e,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International identified as competitor of Carmudi on Nov 28th '22.,
,,"With the move, Astra now competes with players such as Carro, Carsome, OLX Autos, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,0.8972,,,2022-11-28,,,,[],2022-11-28T11:01:00Z,,a584e0c3-3016-4ec3-a5b0-d2b138adb377,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International identified as competitor of Carsome Group on Nov 28th '22.,
,,"With the move, Astra now competes with players such as Carro, Carsome, OLX Autos, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,0.0492,,,2022-11-28,,,,[],2022-11-28T10:01:00Z,,1d390da0-e825-46a1-9dda-ccd55832846a,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International identified as competitor of OLX Group on Nov 28th '22.,
,,"With the move, Astra now competes with players such as Carro, Carsome, OLX Autos, Carmudi, and Moladin.",,[],,identified_as_competitor_of,astra.co.id,0.8865,,,2022-11-28,,,,[],2022-11-28T10:01:00Z,,2ac54655-0750-42fc-b924-60771cf4768d,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International identified as competitor of Carro on Nov 28th '22.,
,,"Toyota Astra Motor, the car company’s local joint venture, introduced the all-new EV bZ4X at the show.",,[],,launches,astra.co.id,0.9065,,,,,,,[],2022-11-17T07:50:00Z,,8b110e7d-d72a-4708-87ea-6179a7ce5604,,[],,[],False,EV bZ4X,"{""full_text"": ""EV bZ4X"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launches EV bZ4X.,
,,Astra will also collaborate with Hermina and Halodoc to improve the whole health sector.,,[],,partners_with,astra.co.id,0.4061,,,,,,,[],2022-09-22T20:50:52Z,,5161d37a-9b1b-48a2-ab15-70345f5b35e4,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International partners with Halodoc.,
,,Toyota has already started working on a new generation of Innova.,,[],,is_developing,astra.co.id,0.7122,,,,,,,[],2022-04-13T23:52:39Z,,8847d1b0-a510-4100-8857-e07961339c7e,,[],,[],False,new generation of Innova,"{""full_text"": ""new generation of Innova"", ""name"": null, ""release_type"": ""generation"", ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International is developing new generation of Innova.,
,,Toyota recently unveiled the Innova Electric MPV Concept at the Indonesian International Motor Show in Jakarta.,,[],,launches,astra.co.id,0.6939,,,2022-03-14,,,,[],2022-04-11T03:41:04Z,,e03848d1-82c1-4879-b4ce-df6907cf2ca9,,[],"Jakarta, Indonesia, South-eastern Asia, Asia","[{""city"": ""Jakarta"", ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,Innova Electric MPV Concept,"{""full_text"": ""Innova Electric MPV Concept"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launched Innova Electric MPV Concept on Mar 14th '22.,
,,"Meanwhile, Astra International, through PT Toyota Astra Motor, introduced electric cars back in 2009 with the launch of the Toyota Prius.",,"[""transportation""]",,launches,astra.co.id,0.2329,,,2009-01-01,,,,[],2022-02-22T12:01:52Z,,0af20ada-5bec-4b3a-a0c3-1e1e1d29aca4,,"[""transportation""]",,[],False,electric cars,"{""full_text"": ""electric cars"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}","[""future_tech""]",,Astra International launched electric cars on Jan 1st '09.,
,,Hongkong Land is embarking on its first ever logistics project by teaming up with its Indonesian sister firm PT Astra International and warehouse specialist Logos Property in a joint venture to develop and manage warehouses in Southeast Asia’s largest economy.,,[],,partners_with,astra.co.id,0.3381,,,,,,,[],2022-02-09T12:36:56Z,,d419b833-1079-4db6-ac02-6d5dfbaa9ec7,,[],Asia,"[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": null, ""region"": null, ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Hongkong Land Limited partners with Astra International.,
,,Hongkong Land and Indonesian conglomerate PT Astra International – have teamed with Logos SE Asia to develop logistics warehouses in Indonesia.,,"[""distribution""]",,is_developing,astra.co.id,0.7343,,,,,,,[],2022-02-09T10:31:31Z,,c47ba70c-ff8e-48dc-bcb1-821af952af74,,"[""operations""]",,[],False,logistics warehouses in Indonesia,"{""full_text"": ""logistics warehouses in Indonesia"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International is developing logistics warehouses in Indonesia.,
,,WeLab originally entered Indonesia in 2018 with an online lending joint venture with conglomerate Astra International.,,[],,partners_with,astra.co.id,0.7514,,,2018-01-01,,,,[],2021-12-07T04:56:37Z,,d29ae897-8c09-409e-af82-1fad7b20fb64,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Welab Limited partnered with Astra International on Jan 1st '18.,
US$80 million,80000000.0,"Halodoc, an Indonesia-based health tech startup, has raised US$80 million in a Series C funding round led by local automotive conglomerate Astra.",,[],,invests_into,astra.co.id,0.4539,,,2021-04-21,,,,[],2021-04-21T01:33:50Z,,e1de7c02-4c8c-4ea5-adc3-ec574682a636,,[],"Singapore, Singapore, South-eastern Asia, Asia","[{""city"": ""Singapore"", ""state"": null, ""zip_code"": null, ""country"": ""Singapore"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International invested into Halodoc $80M on Apr 21st '21.,
,,Toyota Astra Motor (TAM) has unveiled the new 50th Anniversary Edition of Innova (also known as Kijang Innova in Indonesia).,,[],,launches,astra.co.id,0.9159,,,,,,,[],2021-04-09T08:25:24Z,,3fe4b3f1-8ca5-478f-9c83-84313270911a,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,50th Anniversary Edition of Innova,"{""full_text"": ""50th Anniversary Edition of Innova"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launches 50th Anniversary Edition of Innova.,
,,"In order to celebrate its 50th Anniversary in Indonesia, Toyota will be launching a limited-run special edition of Innova.",,[],,launches,astra.co.id,0.9159,,,,,,,[],2021-04-09T08:25:24Z,,66a940ff-eb05-4a26-a662-98d07a1b56be,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,limited-run special edition of Innova,"{""full_text"": ""limited-run special edition of Innova"", ""name"": null, ""release_type"": ""special edition"", ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launches limited-run special edition of Innova.,
,,"Daihatsu has introduced the new Gran Max in Japan, which is set to go on sale from September 4, alongside its rebadged cousin known as the Toyota Town Ace.",,[],,launches,astra.co.id,0.5191,,,2020-09-04,,,,[],2020-06-26T07:24:55Z,,c35de51f-7a33-4570-b597-284c4a176d60,,[],"Japan, Eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Japan"", ""region"": ""Eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,Gran Max,"{""full_text"": ""Gran Max"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launched Gran Max on Sep 4th '20.,
,,Diversified conglomerate Astra International launched its building Menara Astra (Astra Tower) to commemorate its 62nd anniversary.,,[],,launches,astra.co.id,0.4835,,,,,,,[],2020-05-13T02:07:00Z,,4e5b6f83-5522-4875-a9a7-b2fa40b48c15,,[],,[],False,Menara Astra,"{""full_text"": ""Menara Astra"", ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International launches Menara Astra.,
,,UEM Edgenta established its regional office in Jakarta last September and is currently partnering with Indonesian conglomerate Astra Group to manage and maintain the Cikampek-Palimanan Highway until 2022.,,[],,partners_with,astra.co.id,0.6769,,,,,,,[],2020-03-13T02:50:24Z,,da517380-26fd-44f6-bb67-94b41e7823c7,,[],,[],False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Uemedgenta partners with Astra International.,
,,"According to a press release issued on Monday, WeLab, a pan-Asian fintech platform, announced the completed acquisition of BJJ, together with PT Astra International Tbk (Astra), one of Indonesia's largest public companies.",,[],,acquires,astra.co.id,0.2051,,,2022-09-19,,,,[],2020-01-08T23:00:00Z,,55a3315a-5737-4f04-9845-0f9cadf6f9a3,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International acquired Bjj on Sep 19th '22.,
,,"ASTRA International, Indonesia's largest automobile distributor, on Thursday launched a joint venture with Gojek to provide cars to the ride-hailing firm.",,[],,partners_with,astra.co.id,0.6577,,,2019-07-18,,,,[],2019-07-18T19:50:00Z,,a8c7bf9c-6870-49a3-9cfb-2791fa060666,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Astra International partnered with Gojek on Jul 18th '19.,
,,"Go-Jek and Astra International are set to form a joint venture to develop Go-Jek’s four-wheeled ride-hailing service, Go-Car.",,"[""transportation""]",,is_developing,astra.co.id,0.9881,,,,,,,[],2019-03-08T04:17:41Z,,9cf8a33f-969c-4c8c-947d-d291a5ca36d2,,"[""transportation""]",,[],False,Go-Car,"{""full_text"": ""Go-Jek’s four-wheeled ride-hailing service, Go-Car"", ""name"": ""Go-Car"", ""release_type"": null, ""release_version"": null, ""fuzzy_match"": true}",[],,Astra International is developing Go-Car.,
,,"In addition to the investment, Go-Jek has also announced a joint venture with Astra that will enable more drivers to join the four-wheel ride-hailing sector and participate in Indonesia’s growing digital economy, the company said in a statement.",,[],,partners_with,astra.co.id,0.6417,,,2019-07-18,,,,[],2019-03-04T00:45:00Z,,95608b47-7e60-4f47-911f-f5f0b1963c2d,,[],"Indonesia, South-eastern Asia, Asia","[{""city"": null, ""state"": null, ""zip_code"": null, ""country"": ""Indonesia"", ""region"": ""South-eastern Asia"", ""continent"": ""Asia"", ""fuzzy_match"": false}]",False,,"{""full_text"": null, ""name"": null, ""release_type"": null, ""release_version"": null, ""fuzzy_match"": null}",[],,Gojek Group partnered with Astra International on Jul 18th '19.,
